Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	O-AEA	27.0903922950721	16164.9309908902	AEA-ISTD	0.00170680544882133	3.20224404137796	3.9705300935026
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	2-LG-Q	32644.8292137815	35423.2947370643	2AG-ISTD	0.921407819603877	4.73410805001178	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	1-LG-Q	230832.060566967	35423.2947370643	2AG-ISTD	6.01528804849401	4.96489442152996	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	2-OG-Q	102167.0405	35423.2947370643	2AG-ISTD	2.88351888622622	5.90815515843466	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	1-OG-Q	988555.002000002	35423.2947370643	2AG-ISTD	27.9022066156408	6.21365563706779	4.63791452473967
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	EPEA-Q	3223.64166260774	488810.616650005	LEA-ISTD	0.00660714303781214	3.94083675200893	3.93451773308824
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	POEA-Q	99474.6345	474436.9262104	OEA-ISTD	0.209669093626456	3.0115991787985	4.9428426515651
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	ETAEA-Q	5153.84059794257	779597.27747291	PEA-ISTD	0.00661859750802153	4.00813815803535	4.48721772800867
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	OAG-Q	846.689999999994	N/A	(No IS)	N/A	6.48613975791434	N/A
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	PDEA-Q	46926.893	488810.616650005	LEA-ISTD	0.0960021967640695	3.76124818440255	3.93451773308824
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	COR-Q	5380996.90753751	779597.27747291	PEA-ISTD	6.9022769358305	0.091573951565008	4.48721772800867
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	Alpha-LEA-Q	12530.0345	488810.616650005	LEA-ISTD	0.0256347429314777	3.26212054745569	3.93451773308824
PR01_EXAMPLE_AAC_0001QC_A2	08/13/2015 17:57:26	AA-Q	8299830.99386278	488810.616650005	LEA-ISTD	16.9796455133166	5.84894885810896	3.93451773308824
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	2AG-Q	84.6793236930866	1554.02515931867	2AG-ISTD	0.054472790733217	4.82478116380075	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	2AG-ISTD	1554.02515931867	N/A	N/A	N/A	4.80078861625987	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	AEA-Q	N/A	103.672450939489	AEA-ISTD	N/A	N/A	3.64506915665027
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	AEA-ISTD	103.672450939489	N/A	N/A	N/A	3.64506915665027	N/A
