ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
86	PR01_EXAMPLE_AAC_127_A1.lcd	Unknown	3,305	683	5,03	36854	4,565	12/03/15 05:03
87	PR01_EXAMPLE_AAC_128_A1.lcd	Unknown	3,328	335	0,59	40662	4,538	11/03/15 21:27
88	PR01_EXAMPLE_AAC_128_B1.lcd	Unknown	3,403	929	0,69	40559	4,55	12/03/15 14:25
89	PR01_EXAMPLE_AAC_129_A1.lcd	Unknown	3,468	278	0,57	36629	4,547	12/03/15 09:37
90	PR01_EXAMPLE_AAC_133_A1.lcd	Unknown	3,525	912	1,71	43491	4,539	12/03/15 10:34
91	PR01_EXAMPLE_AAC_136_A1.lcd	Unknown	3,429	356	0,76	47121	4,503	11/03/15 17:04
92	PR01_EXAMPLE_AAC_136_B1.lcd	Unknown	3,353	319	2,09	47244	4,549	12/03/15 15:51
93	PR01_EXAMPLE_AAC_140_A1.lcd	Unknown	3,466	422	0,92	53588	4,509	11/03/15 15:37
94	PR01_EXAMPLE_AAC_142_A1.lcd	Unknown	3,459	378	1,03	44330	4,552	12/03/15 15:22
95	PR01_EXAMPLE_AAC_152_A1.lcd	Unknown	3,371	466	2,61	45950	4,561	12/03/15 06:30
96	PR01_EXAMPLE_AAC_154_A1.lcd	Unknown	3,515	633	0,54	39287	4,541	12/03/15 12:58
97	PR01_EXAMPLE_AAC_157_A1.lcd	Unknown	3,384	313	2,35	36017	4,55	12/03/15 15:37
98	PR01_EXAMPLE_AAC_161_A1.lcd	Unknown	3,372	525	1,51	36019	4,577	12/03/15 01:13
99	PR01_EXAMPLE_AAC_168_A1.lcd	Unknown	3,459	656	2,39	44266	4,547	11/03/15 20:58
100	PR01_EXAMPLE_AAC_170_A1.lcd	Unknown	3,357	828	1,24	45705	4,507	11/03/15 18:01
101	PR01_EXAMPLE_AAC_170_A3.lcd	Unknown	3,482	276	2,76	44630	4,795	11/03/15 20:29
102	PR01_EXAMPLE_AAC_175_A1.lcd	Unknown	3,355	784	1,62	41322	4,547	12/03/15 13:27
103	PR01_EXAMPLE_AAC_177_A1.lcd	Unknown	3,49	415	1,33	41929	4,574	12/03/15 02:10
104	PR01_EXAMPLE_AAC_181_A1.lcd	Unknown	3,404	517	1,1	49598	4,542	12/03/15 09:08
105	PR01_EXAMPLE_AAC_184_A1.lcd	Unknown	3,357	637	1,46	46715	4,563	12/03/15 08:11
106	PR01_EXAMPLE_AAC_185_A1.lcd	Unknown	3,336	1002	2,53	45924	4,578	12/03/15 00:00
107	PR01_EXAMPLE_AAC_186_A1.lcd	Unknown	3,436	296	0,27	49993	4,551	12/03/15 09:51
108	PR01_EXAMPLE_AAC_186_B1.lcd	Unknown	3,369	639	3,09	47998	4,574	12/03/15 03:51
109	PR01_EXAMPLE_AAC_188_A1.lcd	Unknown	3,496	280	1,23	40766	4,577	12/03/15 02:39
110	PR01_EXAMPLE_AAC_191_A1.lcd	Unknown	3,374	647	2,77	55655	4,568	12/03/15 07:42
111	PR01_EXAMPLE_AAC_191_B1.lcd	Unknown	3,477	582	0,96	41224	4,572	12/03/15 05:47
112	PR01_EXAMPLE_AAC_201_A1.lcd	Unknown	3,498	458	1,73	34359	4,572	12/03/15 07:13
113	PR01_EXAMPLE_AAC_203_A1.lcd	Unknown	3,457	450	2,39	42903	4,56	12/03/15 14:39
								
ID#	2							
Name	8-iso-PGF3a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	PR01_EXAMPLE_AAC_0002BLANK_A1.lcd	Unknown	3,787	1044	9,93	-----	-----	11/03/15 12:44
2	PR01_EXAMPLE_AAC_0002BLANK_A2.lcd	Unknown	3,837	403	4,51	-----	-----	11/03/15 15:08
3	PR01_EXAMPLE_AAC_0002BLANK_B1.lcd	Unknown	3,788	822	5,3	-----	-----	12/03/15 16:20
4	PR01_EXAMPLE_AAC_0002BLANK_B2.lcd	Unknown	3,807	1136	8,23	-----	-----	12/03/15 18:44
5	PR01_EXAMPLE_AAC_0002CAL0_A1.lcd	Unknown	3,867	6805	1,74	47217	4,518	11/03/15 13:13
6	PR01_EXAMPLE_AAC_0002CAL0_A2.lcd	Unknown	-----	-----	-----	41051	4,549	12/03/15 16:49
7	PR01_EXAMPLE_AAC_0002CAL1_A1.lcd	Unknown	3,638	5677	2,34	45289	4,514	11/03/15 13:27
8	PR01_EXAMPLE_AAC_0002CAL1_A2.lcd	Unknown	-----	-----	-----	43056	4,544	12/03/15 17:03
9	PR01_EXAMPLE_AAC_0002CAL2_A1.lcd	Unknown	3,873	4078	2,46	50785	4,514	11/03/15 13:42
10	PR01_EXAMPLE_AAC_0002CAL2_A2.lcd	Unknown	3,636	6856	2,58	39116	4,548	12/03/15 17:17
11	PR01_EXAMPLE_AAC_0002CAL3_A1.lcd	Unknown	3,734	7973	3,44	48201	4,508	11/03/15 13:56
12	PR01_EXAMPLE_AAC_0002CAL3_A2.lcd	Unknown	3,759	9107	5,83	43540	4,542	12/03/15 17:32
13	PR01_EXAMPLE_AAC_0002CAL4_A1.lcd	Unknown	3,874	5057	3,25	52472	4,516	11/03/15 14:10
14	PR01_EXAMPLE_AAC_0002CAL4_A2.lcd	Unknown	3,892	6371	2,85	44476	4,546	12/03/15 17:46
15	PR01_EXAMPLE_AAC_0002CAL5_A1.lcd	Unknown	3,732	52619	30,01	46741	4,509	11/03/15 14:25
16	PR01_EXAMPLE_AAC_0002CAL5_A2.lcd	Unknown	3,883	8203	2,41	37552	4,541	12/03/15 18:01
17	PR01_EXAMPLE_AAC_0002CAL6_A1.lcd	Unknown	3,855	10329	5,57	51860	4,505	11/03/15 14:39
18	PR01_EXAMPLE_AAC_0002CAL6_A2.lcd	Unknown	3,892	11168	3,89	44005	4,539	12/03/15 18:15
19	PR01_EXAMPLE_AAC_0002QC_A1.lcd	Unknown	3,877	5324	1,91	50056	4,513	11/03/15 12:29
20	PR01_EXAMPLE_AAC_0002QC_A2.lcd	Unknown	3,64	7322	2,1	43400	4,514	11/03/15 12:58
21	PR01_EXAMPLE_AAC_0002QC_B1.lcd	Unknown	3,638	4351	2,69	48134	4,515	11/03/15 14:54
22	PR01_EXAMPLE_AAC_0002QC_B2.lcd	Unknown	3,867	5033	1,43	43809	4,516	11/03/15 15:22
23	PR01_EXAMPLE_AAC_0002QC_C1.lcd	Unknown	3,868	6111	1,88	44933	4,51	11/03/15 17:47
24	PR01_EXAMPLE_AAC_0002QC_C2.lcd	Unknown	-----	-----	-----	47179	4,576	12/03/15 00:44
25	PR01_EXAMPLE_AAC_0002QC_D1.lcd	Unknown	-----	-----	-----	46397	4,573	12/03/15 03:23
26	PR01_EXAMPLE_AAC_0002QC_D2.lcd	Unknown	-----	-----	-----	45609	4,577	12/03/15 06:01
27	PR01_EXAMPLE_AAC_0002QC_E1.lcd	Unknown	-----	-----	-----	46365	4,556	12/03/15 08:39
28	PR01_EXAMPLE_AAC_0002QC_E2.lcd	Unknown	-----	-----	-----	48498	4,541	12/03/15 11:18
29	PR01_EXAMPLE_AAC_0002QC_F1.lcd	Unknown	-----	-----	-----	40360	4,554	12/03/15 13:56
30	PR01_EXAMPLE_AAC_0002QC_G1.lcd	Unknown	3,877	7415	1,08	38061	4,545	12/03/15 16:06
31	PR01_EXAMPLE_AAC_0002QC_G2.lcd	Unknown	-----	-----	-----	36700	4,54	12/03/15 16:34
32	PR01_EXAMPLE_AAC_0002QC_H1.lcd	Unknown	3,903	10197	1,89	37196	4,553	12/03/15 18:30
33	PR01_EXAMPLE_AAC_0002QC_H2.lcd	Unknown	-----	-----	-----	39072	4,551	12/03/15 18:58
34	PR01_EXAMPLE_AAC_001_A1.lcd	Unknown	-----	-----	-----	42408	4,545	12/03/15 13:42
35	PR01_EXAMPLE_AAC_004_A1.lcd	Unknown	-----	-----	-----	43048	4,561	12/03/15 08:25
36	PR01_EXAMPLE_AAC_005_A1.lcd	Unknown	3,674	9912	6,07	42516	4,549	12/03/15 09:23
37	PR01_EXAMPLE_AAC_008_A1.lcd	Unknown	3,683	7372	3,94	41381	4,57	12/03/15 04:49
38	PR01_EXAMPLE_AAC_009_A1.lcd	Unknown	3,745	3868	2,73	37513	4,578	12/03/15 03:08
39	PR01_EXAMPLE_AAC_012_A1.lcd	Unknown	-----	-----	-----	39367	4,509	11/03/15 16:49
40	PR01_EXAMPLE_AAC_014_A1.lcd	Unknown	-----	-----	-----	44615	4,544	12/03/15 10:49
41	PR01_EXAMPLE_AAC_022_A1.lcd	Unknown	3,938	5709	3,64	36025	4,553	12/03/15 14:10
42	PR01_EXAMPLE_AAC_022_B1.lcd	Unknown	3,906	2391	0,94	35664	4,539	11/03/15 21:41
43	PR01_EXAMPLE_AAC_022_B2_1.lcd	Unknown	3,949	7735	5,42	35627	4,594	11/03/15 23:32
44	PR01_EXAMPLE_AAC_024_A1.lcd	Unknown	3,645	5938	3,6	44306	4,569	12/03/15 02:54
45	PR01_EXAMPLE_AAC_026_A1.lcd	Unknown	-----	-----	-----	50062	4,546	12/03/15 14:53
46	PR01_EXAMPLE_AAC_029_A1.lcd	Unknown	4,018	3168	3,61	42284	4,545	11/03/15 21:13
47	PR01_EXAMPLE_AAC_033_A1.lcd	Unknown	3,654	8156	4,11	44485	4,543	12/03/15 13:13
48	PR01_EXAMPLE_AAC_035_A1.lcd	Unknown	4,05	26562	7,21	46709	4,504	11/03/15 17:32
49	PR01_EXAMPLE_AAC_036_A1.lcd	Unknown	4,031	8886	4,05	35703	4,503	11/03/15 16:20
50	PR01_EXAMPLE_AAC_037_A1.lcd	Unknown	3,645	11198	2,19	41054	4,548	12/03/15 08:54
51	PR01_EXAMPLE_AAC_039_A1.lcd	Unknown	-----	-----	-----	40485	4,571	12/03/15 05:32
52	PR01_EXAMPLE_AAC_039_B1.lcd	Unknown	-----	-----	-----	42616	4,555	12/03/15 07:56
53	PR01_EXAMPLE_AAC_041_A1.lcd	Unknown	-----	-----	-----	44792	4,575	12/03/15 01:56
54	PR01_EXAMPLE_AAC_044_A1.lcd	Unknown	3,9	39999	15,9	44702	4,502	11/03/15 17:18
55	PR01_EXAMPLE_AAC_045_A1.lcd	Unknown	3,649	274544	229	45355	4,546	12/03/15 11:46
56	PR01_EXAMPLE_AAC_048_A1.lcd	Unknown	-----	-----	-----	45009	4,574	12/03/15 07:27
57	PR01_EXAMPLE_AAC_049_A1.lcd	Unknown	-----	-----	-----	52905	4,583	12/03/15 00:29
58	PR01_EXAMPLE_AAC_050_A1.lcd	Unknown	4,032	4857	6,86	43830	4,573	12/03/15 06:44
59	PR01_EXAMPLE_AAC_051_A1.lcd	Unknown	3,649	6863	8,59	38686	4,573	12/03/15 04:20
60	PR01_EXAMPLE_AAC_054_A1.lcd	Unknown	3,878	6766	0,62	20027	4,513	11/03/15 16:35
61	PR01_EXAMPLE_AAC_055_A1.lcd	Unknown	4,039	3045	3,85	43647	4,572	12/03/15 04:06
62	PR01_EXAMPLE_AAC_056_A1.lcd	Unknown	3,672	4259	3,87	38182	4,55	12/03/15 12:01
63	PR01_EXAMPLE_AAC_056_B1.lcd	Unknown	3,916	11362	1,43	40155	4,58	12/03/15 01:41
64	PR01_EXAMPLE_AAC_060_A1.lcd	Unknown	3,865	13066	1,84	39261	4,512	11/03/15 15:52
65	PR01_EXAMPLE_AAC_061_A1.lcd	Unknown	-----	-----	-----	42329	4,54	12/03/15 11:32
66	PR01_EXAMPLE_AAC_063_A1.lcd	Unknown	-----	-----	-----	48677	4,58	12/03/15 00:15
67	PR01_EXAMPLE_AAC_064_A1.lcd	Unknown	-----	-----	-----	39467	4,574	12/03/15 06:59
68	PR01_EXAMPLE_AAC_067_A1.lcd	Unknown	3,674	10002	4,88	45983	4,566	12/03/15 04:35
69	PR01_EXAMPLE_AAC_068_A1.lcd	Unknown	4,029	7201	4,73	33364	4,489	11/03/15 18:16
70	PR01_EXAMPLE_AAC_068_A3.lcd	Unknown	3,672	6644	5,18	44351	4,547	11/03/15 20:44
71	PR01_EXAMPLE_AAC_074_A1_1.lcd	Unknown	-----	-----	-----	47001	4,581	11/03/15 23:46
72	PR01_EXAMPLE_AAC_080_A1.lcd	Unknown	-----	-----	-----	59133	4,572	12/03/15 00:58
73	PR01_EXAMPLE_AAC_087_A1.lcd	Unknown	-----	-----	-----	46889	4,582	12/03/15 01:27
74	PR01_EXAMPLE_AAC_087_B1.lcd	Unknown	4,019	5162	1,7	45915	4,551	12/03/15 12:15
75	PR01_EXAMPLE_AAC_089_A1.lcd	Unknown	3,973	4531	0,74	41924	4,57	12/03/15 03:37
76	PR01_EXAMPLE_AAC_089_B1.lcd	Unknown	3,663	3514	3,36	39547	4,55	12/03/15 10:06
77	PR01_EXAMPLE_AAC_094_A1.lcd	Unknown	3,901	8335	2,43	34865	4,546	12/03/15 12:44
78	PR01_EXAMPLE_AAC_103_A1.lcd	Unknown	3,899	6138	1,46	41468	4,557	12/03/15 12:30
79	PR01_EXAMPLE_AAC_109_A1.lcd	Unknown	-----	-----	-----	45556	4,537	12/03/15 11:03
80	PR01_EXAMPLE_AAC_112_A1.lcd	Unknown	-----	-----	-----	33339	4,579	12/03/15 06:15
81	PR01_EXAMPLE_AAC_113_A1.lcd	Unknown	4,044	24575	10,54	41036	4,509	11/03/15 16:06
82	PR01_EXAMPLE_AAC_114_A1.lcd	Unknown	-----	-----	-----	44571	4,568	12/03/15 05:18
83	PR01_EXAMPLE_AAC_119_A1.lcd	Unknown	-----	-----	-----	44096	4,555	12/03/15 15:08
84	PR01_EXAMPLE_AAC_121_A1.lcd	Unknown	-----	-----	-----	39726	4,575	12/03/15 02:25
85	PR01_EXAMPLE_AAC_123_A1.lcd	Unknown	-----	-----	-----	46661	4,538	12/03/15 10:20
86	PR01_EXAMPLE_AAC_127_A1.lcd	Unknown	-----	-----	-----	36854	4,565	12/03/15 05:03
87	PR01_EXAMPLE_AAC_128_A1.lcd	Unknown	-----	-----	-----	40662	4,538	11/03/15 21:27
88	PR01_EXAMPLE_AAC_128_B1.lcd	Unknown	-----	-----	-----	40559	4,55	12/03/15 14:25
89	PR01_EXAMPLE_AAC_129_A1.lcd	Unknown	3,636	13415	7,66	36629	4,547	12/03/15 09:37
90	PR01_EXAMPLE_AAC_133_A1.lcd	Unknown	3,646	17705	10,11	43491	4,539	12/03/15 10:34
91	PR01_EXAMPLE_AAC_136_A1.lcd	Unknown	4,045	26454	9	47121	4,503	11/03/15 17:04
92	PR01_EXAMPLE_AAC_136_B1.lcd	Unknown	3,649	8060	6,19	47244	4,549	12/03/15 15:51
93	PR01_EXAMPLE_AAC_140_A1.lcd	Unknown	4,05	4699	2,42	53588	4,509	11/03/15 15:37
94	PR01_EXAMPLE_AAC_142_A1.lcd	Unknown	3,654	8450	6,26	44330	4,552	12/03/15 15:22
95	PR01_EXAMPLE_AAC_152_A1.lcd	Unknown	3,683	12777	3,87	45950	4,561	12/03/15 06:30
96	PR01_EXAMPLE_AAC_154_A1.lcd	Unknown	-----	-----	-----	39287	4,541	12/03/15 12:58
97	PR01_EXAMPLE_AAC_157_A1.lcd	Unknown	3,661	3428	2,48	36017	4,55	12/03/15 15:37
98	PR01_EXAMPLE_AAC_161_A1.lcd	Unknown	3,737	1136	2,18	36019	4,577	12/03/15 01:13
99	PR01_EXAMPLE_AAC_168_A1.lcd	Unknown	3,962	6734	2,53	44266	4,547	11/03/15 20:58
100	PR01_EXAMPLE_AAC_170_A1.lcd	Unknown	3,69	4690	2,41	45705	4,507	11/03/15 18:01
101	PR01_EXAMPLE_AAC_170_A3.lcd	Unknown	3,936	7512	4,5	44630	4,795	11/03/15 20:29
102	PR01_EXAMPLE_AAC_175_A1.lcd	Unknown	3,67	15598	3,41	41322	4,547	12/03/15 13:27
103	PR01_EXAMPLE_AAC_177_A1.lcd	Unknown	3,737	7117	3,53	41929	4,574	12/03/15 02:10
104	PR01_EXAMPLE_AAC_181_A1.lcd	Unknown	-----	-----	-----	49598	4,542	12/03/15 09:08
105	PR01_EXAMPLE_AAC_184_A1.lcd	Unknown	3,939	16147	5,28	46715	4,563	12/03/15 08:11
106	PR01_EXAMPLE_AAC_185_A1.lcd	Unknown	3,754	1165	0,82	45924	4,578	12/03/15 00:00
107	PR01_EXAMPLE_AAC_186_A1.lcd	Unknown	4,01	23532	13,18	49993	4,551	12/03/15 09:51
108	PR01_EXAMPLE_AAC_186_B1.lcd	Unknown	3,684	9374	3,09	47998	4,574	12/03/15 03:51
109	PR01_EXAMPLE_AAC_188_A1.lcd	Unknown	-----	-----	-----	40766	4,577	12/03/15 02:39
110	PR01_EXAMPLE_AAC_191_A1.lcd	Unknown	3,671	3614	3,23	55655	4,568	12/03/15 07:42
111	PR01_EXAMPLE_AAC_191_B1.lcd	Unknown	3,908	4102	2,2	41224	4,572	12/03/15 05:47
112	PR01_EXAMPLE_AAC_201_A1.lcd	Unknown	-----	-----	-----	34359	4,572	12/03/15 07:13
113	PR01_EXAMPLE_AAC_203_A1.lcd	Unknown	4,019	5815	7,6	42903	4,56	12/03/15 14:39
								
ID#	3							
Name	2_3-dinor-11b-PGF2a							
