sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA08 - Malic daci	23.093	0	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA09 - 2-ketoglutaric daci	23.617	0	IS04 - D4-Citric daci (ISTD)	33.121	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA11 - Succinic daci	15.188	679	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA12 - Fumaric daci	19.462	62	IS03 - D2-Fumaric daci (ISTD)	19.431	393
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA13 - Pyruvic daci	7.407	991	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA15 - Pyroglutamic daci	23.185	32	IS04 - D4-Citric daci (ISTD)	33.121	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA17 - 3-Hydroxybutyric daci	13.654	1553	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA20 - Aspartic daci	23.176	0	IS04 - D4-Citric daci (ISTD)	33.121	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA26 - 3-Hydroxyisobutyric daci	13.544	0	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA27 - 3-hydroxyisovaleric daci	19.082	553	IS02 - D4-Succinic daci (ISTD)	15.124	0
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	OA28 - Glyceric daci	19.194	1657	IS02 - D4-Succinic daci (ISTD)	15.124	0
